09:36:31,-48,-4
09:36:34,-57,-4
09:36:37,-53,-5
09:36:40,-41,-7
09:36:43,-42,-3
09:36:46,-48,-19
09:36:49,-38,-6
09:36:52,-54,-9
09:36:55,-53,-9
09:36:58,-55,-7
09:37:01,-50,-4
09:37:04,-49,-5
09:37:07,-49,-6
09:37:10,-38,-7
09:37:13,-45,-3
09:37:16,-49,-7
09:37:19,-48,-10
09:37:22,-46,-8
09:37:25,-47,-9
09:37:28,-44,-9
09:37:31,-38,-9
09:37:34,-49,-7
09:37:37,-47,-8
09:37:40,-37,-8
09:37:43,-44,-5
09:37:46,-49,-7
09:37:49,-45,-8
09:37:52,-46,-7
09:37:55,-52,-6
09:37:58,-53,-4
09:38:01,-45,-5
09:38:04,-52,-4
09:38:07,-47,-6
09:38:10,-46,-3
09:38:13,-34,-2
09:38:16,-54,0
09:38:19,-39,-6
09:38:22,-47,0
09:38:25,-59,5
09:38:28,-45,6
09:38:31,-49,-8
09:38:34,-40,-8
09:38:37,-51,-2
09:38:40,-51,-5
09:38:43,-46,-4
09:38:46,-51,-4
09:38:49,-48,-4
09:38:52,-53,-4
09:38:55,-31,-4
09:38:58,-40,-4
09:39:01,-35,0
09:39:04,-50,9
09:39:07,-51,10
09:39:10,-55,7
09:39:13,-31,9
09:39:16,-34,11
09:39:19,-48,9
09:39:22,-44,9
09:39:25,-39,9
09:39:28,-65,9
09:39:31,-54,11
09:39:34,-43,11
09:39:37,-29,11
09:39:40,-36,12
09:39:43,-37,12
09:40:16,-42,13
09:40:19,-48,12
09:40:22,-41,11
09:40:25,-57,4
09:40:28,-54,5
09:40:31,-52,7
09:40:34,-62,7
09:40:37,-41,10
09:40:40,8,11
09:40:43,8,10
09:40:46,0,8
09:40:54,-55,10
09:40:55,-32,2
09:40:55,-54,-16
09:41:06,-41,3
09:41:07,-45,-9
09:41:07,-65,11
09:41:07,-40,2
09:41:24,-18,-29
09:41:24,-8,8
09:41:24,-37,-5
09:41:24,-32,6
09:41:24,-40,8
09:41:25,-49,3
09:41:28,-52,11
09:41:31,-70,3
09:41:34,-66,2
09:41:37,-69,7
09:41:40,-64,9
09:41:43,-39,8
09:41:46,-52,7
09:41:49,-45,6
09:41:52,-51,8
09:41:55,-33,9
09:41:58,-31,9
09:42:01,-45,8
09:42:04,-51,0
09:42:07,-68,-3
09:42:10,-59,-3
09:42:13,-63,-6
09:42:16,-66,-5
09:42:19,-58,-5
09:42:22,-66,-4
09:42:25,-58,-3
09:42:28,-65,-5
09:42:31,-58,-2
09:42:34,-60,-3
09:42:37,-49,-4
09:42:45,-23,-17
09:42:46,-4,-1
09:42:46,-29,0
09:42:49,-62,-3
09:42:52,-48,-4
09:42:55,-54,0
09:42:58,-62,-3
09:43:01,-56,-1
09:43:04,-54,-1
09:43:07,-47,-1
09:43:10,-47,-2
09:43:13,-60,-3
09:43:16,-51,0
09:43:19,-56,-2
09:43:22,-39,-3
09:43:25,-40,3
09:43:28,-42,-2
09:43:31,-50,-3
09:43:34,-39,-3
09:43:37,-46,-3
09:43:40,-41,-2
09:43:43,-42,-4
09:43:46,-47,-1
